wheel_id,vehicle_id,iob_value,frame,vehicle_type
735,719,0.02261904761904762,476,car
738,719,0.0,479,car
738,737,0.92,479,car
738,719,0.0,480,car
738,737,0.88,480,car
738,719,0.0,481,car
738,737,0.8461538461538461,481,car
738,719,0.0,482,car
738,737,0.9259259259259259,482,car
738,719,0.0,483,car
738,737,0.9615384615384616,483,car
738,719,0.0,485,car
738,737,0.896551724137931,485,car
738,719,0.0,486,car
738,737,0.9310344827586207,486,car
738,719,0.0,487,car
738,737,0.896551724137931,487,car
738,719,0.0,488,car
738,737,0.7931034482758621,488,car
738,719,0.0,489,car
738,737,0.9032258064516129,489,car
738,719,0.0,490,car
738,737,0.8823529411764706,490,car
743,719,0.0,490,car
743,737,1.0,490,car
738,719,0.0,491,car
738,737,0.8888888888888888,491,car
743,719,0.0,491,car
743,737,1.0,491,car
738,719,0.0,492,car
738,737,0.9166666666666666,492,car
743,719,0.0,492,car
743,737,1.0,492,car
738,719,0.0,493,car
738,737,0.9428571428571428,493,car
743,719,0.0,493,car
743,737,1.0,493,car
738,719,0.0,494,car
738,737,0.9459459459459459,494,car
743,719,0.0,494,car
743,737,1.0,494,car
738,719,0.0,495,car
738,737,0.9230769230769231,495,car
743,719,0.0,495,car
743,737,1.0,495,car
738,719,0.0,496,car
738,737,0.9473684210526315,496,car
743,719,0.0,496,car
743,737,1.0,496,car
738,719,0.0,497,car
738,737,0.9487179487179487,497,car
743,719,0.0,497,car
743,737,1.0,497,car
743,719,0.0,498,car
743,737,1.0,498,car
738,719,0.0,499,car
738,737,0.9512195121951219,499,car
743,719,0.0,499,car
743,737,1.0,499,car
738,719,0.0,500,car
738,737,0.9318181818181818,500,car
743,719,0.0,500,car
743,737,1.0,500,car
738,719,0.0,501,car
738,737,0.9583333333333334,501,car
743,719,0.0,501,car
743,737,1.0,501,car
738,719,0.0,502,car
738,737,0.9811320754716981,502,car
743,719,0.0,502,car
743,737,1.0,502,car
738,719,0.0,503,car
738,737,0.9615384615384616,503,car
743,719,0.0,503,car
743,737,1.0,503,car
738,719,0.0,504,car
738,737,0.9607843137254902,504,car
743,719,0.0,504,car
743,737,1.0,504,car
738,719,0.0,505,car
738,737,0.9454545454545454,505,car
743,719,0.0,505,car
743,737,0.8857142857142857,505,car
738,719,0.0,506,car
738,737,0.9827586206896551,506,car
743,719,0.0,506,car
743,737,0.8421052631578947,506,car
738,719,0.0,507,car
738,737,0.9508196721311475,507,car
738,719,0.0,508,car
738,737,0.9682539682539683,508,car
738,719,0.0,509,car
738,737,0.9692307692307692,509,car
782,719,0.0,509,car
782,737,1.0,509,car
738,719,0.0,510,car
738,737,0.9705882352941176,510,car
782,719,0.0,510,car
782,737,1.0,510,car
738,719,0.0,511,car
738,737,0.9855072463768116,511,car
782,719,0.0,511,car
782,737,1.0,511,car
738,719,0.0,512,car
738,737,0.9850746268656716,512,car
782,719,0.0,512,car
782,737,1.0,512,car
738,719,0.0,513,car
738,737,0.9583333333333334,513,car
782,719,0.0,513,car
782,737,1.0,513,car
738,719,0.0,514,car
738,737,0.958904109589041,514,car
782,719,0.0,514,car
782,737,1.0,514,car
738,719,0.0,515,car
738,737,0.9726027397260274,515,car
782,719,0.0,515,car
782,737,1.0,515,car
738,719,0.0,516,car
738,737,0.975,516,car
782,719,0.0,516,car
782,737,1.0,516,car
738,719,0.0,517,car
738,737,0.9540229885057471,517,car
782,719,0.0,517,car
782,737,1.0,517,car
738,719,0.0,518,car
738,737,0.9883720930232558,518,car
782,719,0.0,518,car
782,737,1.0,518,car
738,719,0.0,519,car
738,737,0.9775280898876404,519,car
782,719,0.0,519,car
782,737,1.0,519,car
738,719,0.0,520,car
738,737,0.967032967032967,520,car
782,719,0.0,520,car
782,737,1.0,520,car
738,719,0.0,521,car
738,737,0.9583333333333334,521,car
782,719,0.0,521,car
782,737,1.0,521,car
738,719,0.0,522,car
738,737,0.96,522,car
782,719,0.0,522,car
782,737,1.0,522,car
738,719,0.0,523,car
738,737,0.96875,523,car
782,719,0.0,523,car
782,737,1.0,523,car
738,719,0.0,524,car
738,737,0.9320388349514563,524,car
782,719,0.0,524,car
782,737,1.0,524,car
738,737,0.9619047619047619,525,car
782,737,1.0,525,car
738,737,0.9541284403669725,526,car
782,737,1.0,526,car
738,737,0.9557522123893806,527,car
782,737,1.0,527,car
738,737,0.954954954954955,528,car
782,737,1.0,528,car
738,737,0.9537037037037037,529,car
782,737,1.0,529,car
782,737,1.0,530,car
782,737,1.0,531,car
831,737,0.0,531,car
831,737,0.0,532,car
831,737,0.0,533,car
831,737,0.0,534,car
831,737,0.0,535,car
831,737,0.0,536,car
831,737,0.0,537,car
831,852,0.8888888888888888,538,car
831,852,0.9166666666666666,539,car
